name,url,locations,markets,investment_count,investment_amount,angelLlist_url,twitter_url,email_addresses,mobile_numbers
.406 Ventures,https://www.406ventures.com/,"Boston, Massachusetts, United States",USA,VC,['1avalie.rfamily@yahoo.com'],[]
01 Ventures,http://www.01ventures.com/,"Amsterdam, Netherlands","Finland,Netherlands,UK,USA",VC,[],[]
01booster,https://01booster.co.jp/,,Japan,VC,[],[]
.406 Ventures,https://www.406ventures.com/,"Boston, Massachusetts, United States",USA,VC,[],[]
01 Ventures,http://www.01ventures.com/,"Amsterdam, Netherlands","Finland,Netherlands,UK,USA",VC,[],[]
01booster,https://01booster.co.jp/,,Japan,VC,[],[]
.406 Ventures,https://www.406ventures.com/,"Boston, Massachusetts, United States",USA,VC,['1avalie.rfamily@yahoo.com'],[]
01 Ventures,http://www.01ventures.com/,"Amsterdam, Netherlands","Finland,Netherlands,UK,USA",VC,[],[]
01booster,https://01booster.co.jp/,,Japan,VC,[],[]
1confirmation,https://www.1confirmation.com/,,,,[],[]
1Flourish Capital,https://www.1flourish.com/,,,VC,[],[]
1Up Ventures,https://1upfund.com/,,,VC,[],"['0001255294', '0001255294', '0000950134', '0000950134']"
2B Angels,http://www.2b-angels.com,,,VC,"['brittney.yocom@gmail.com', 'gabiola_misti@yahoo.com']",[]
2B-Community,https://www.2b-community.com/,,,VC,"['SONIA.M.BARRANTES@GMAIL.COM', 'SONIA.M.BARRANTES@GMAIL.COM']",[]
2C Invest,https://www.2cinvest.fr/,"2, rue Antoine de Saint Exupéry 69002 LYON",France,Family office,['rlfa17@yahoo.com'],[]
2M Companies,http://www.2m.com,"Dallas, Texas, United States",USA,Family office,"['mooresu@sonic.net', 'anisohedral@yahoo.com']","['0001262463', '0001262463']"
2M2D - Tomorrow Today,https://www.2m2d.no/,,Norway,Other,[],[]
3D Innotech,http://www.3d-innotech.com/,,,VC,[],[]
3E Bioventures,http://www.3ebiovc.com/en/,China,"USA,China",VC,[],[]
3L Capital,https://3lcap.com/,"1100 Glendon Avenue PH1 Los Angeles, CA 90024",USA,Other,"['norman.liang@gmail.com', 'cspriya25@gmail.com', 'evoting@nsdl.co.in', 'pressuresensetive@gmail.com']","['0001262463', '0001262463']"
3Rodeo,https://3rodeo.com/,,,,[],[]
3T Capital,http://www.3tcapital.com/,"46, rue Barrault 75634 PARIS Cedex 13 France",France,Other,"['kevingjhotels@gmail.com', 'symaahmad@gmail.com', 'ch@pathwaysconsult.com', 'iefflubell@yahoo.com', 'iefflubell@yahoo.com', 'leah.rornano@gmail.com', 'loebbrian@gmail.com', 'Stumpywump@yahoo.com']","['0001262463', '0001262463']"
3TS Capital Partners,https://3tscapital.com,"Kaisaniemenkatu 2B, 8th floor FIN-00100 Helsinki, Finland","Finland,Poland,Bulgaria,Luxembourg,Austria,Turkey,Czech Republic,Slovakia,Hungary",VC,"['a@edisonventures.com', 'i@gmail.com', 'cdtiogun@yahoo.com']","['0001165527', '0001165527', '0001165527', '0001165527']"
3VC,https://www.three.vc/,"Peter-Behrens-Platz 10, Linz, Austria","Austria,Germany,Switzerland,Latvia,Estonia,Lithuania,Poland,Czech Republic,Romania,Bulgaria,Slovenia,Slovakia,Hungary,Croatia,Serbia,Ukraine,Armenia",VC,"['bwaybrown@gmail.com', 'ndwres88@hotmail.com', 'mmeinheit@yahoo.com']","['0001493152', '0001493152', '0001415889', '0001415889']"
4Tech Capital Ventures,https://www.4tech-capital.com/,,,VC,[],[]
5 Square,https://5square.nl/,,Netherlands,Other,[],[]
5AM Ventures,https://5amventures.com/,USA,USA,VC,"['kerry.e.matthew@hotmail.com', 'x3eJSmith@5amventures.com', 'John@5amventures.com']","['0001350455', '0001350455']"
5M Ventures,https://www.5m-ventures.com/,6 Rue du Général Clergerie 75116 Paris,France,Other,['last@5m-ventures.com'],"['0001144204', '0001144204', '0001262463', '0001262463']"
