person_id,person_name,firm_name
113937,Tom Arnost,Verizon Ventures
102374,Andreas Goeldi,btov Partners
106166,Ian Scarffe,
134340,Abhi Yadav,
29636,Brent Shafer,Batshit Crazy Ventures
32179,Tobias Neveling,Venista Ventures
76428,Roy Meirom,Sony Innovation Fund
113979,Richard Cummins,Black Angel Group
29380,Manu Rueda,
72168,Danny Loschiavo,OVentures
96539,Dominik Matyka,Cavalry Ventures
111518,Thiago Bacchin,Astella Investments
114225,David Benson,Black Angel Group
109871,Lorenz Bogaert,Pitchdrive
133287,Matthew Berman,Visible Hands
134722,Daniel Surmacz,Supercharge Capital
146153,Fabian Bjorklund,Aurelia Ventures
146770,Saskia Z.,S4S Ventures
146775,Nicky Sugarman,S4S Ventures
146776,Noam Enk,S4S Ventures
157577,Josephina Kim,Westchester Angels
157662,Barry Sabin,Founder's Cupid
108883,Alan Patricof,Primetime Partners
93303,John Crenshaw,CREN Capital
108499,Sir Martin Sorrell,S4S Ventures
107594,Daniel Broukhim,FabFitFun
108493,Daniel Pinto,S4S Ventures
94048,Jon Hook,Mallory Ventures
70384,Aaron LaRue,
202,Richard Chen,
106640,Garrison Gowens,gener8tor
3610,Kfir Moyal,Cyhawk Ventures
38728,Claas H. Nieraad,
28855,Ishay Green,
318,Robert Wuttke,
90253,Deepika Yerragunta,
163,Jon Steinberg,
111164,Sofia Vergara,
110876,Ofer Zinger,
23962,Laurent Malka,
108947,Adam Neumann,
380,Ding Zhou,
111231,John Legend,
107949,Erik Matlick,
147107,George Novik,
73090,Alex Pattis,
31782,Juan Garay,
21013,Nitya Rajendran,
69120,Sabrina Kestenbaum,Joy Ventures
43626,Josh Carter,1859 Ventures
116678,Jason Turner,
450,alex mashinsky,
3591,Gil Hirsch,
572,Oded Hermoni,
3572,Eilon Tirosh,
4325,Jennifer Lum,
4328,Dave Williams,
1144,Roland Ligtenberg,
1120,John Heltzel,
1880,Andrew Gazdecki,
705,Gary Rubens,
677,Jim Brandt,
4273,Michael Baker,
72257,Abhishek Gupta,
3555,Daniel Scalosub,
111423,Björn Bauermeister,
109662,Artis Kehris,
113363,Gustavo Alvarez Moreno,
115487,Ryan O'hara,
30151,Eric Futoran,
142606,Miguel Carrone,
163048,Ramakant Sharma,
166123,Sam Saliba,
90309,Jason Wilk,
90252,Dan Flanegan,
89297,Buzz Jacobs,
597,Lei Wang,
52226,David King Lassman,
73598,Adie Akuffo-Afful,
326,Thomas Varghese,
111463,Florian Körner,
109585,Christian Rebernik,
109734,Jon Claydon,
109554,Martin Villig,
109542,Martin Hintze,
109522,Diego Berdakin,
109520,Dilpesh Parmar,
72412,Ohad Tzur,
109747,Michael Benabou,
109767,Jean-David Blanc,
109795,Kristjan Raude,
109490,Giovanni Gardelli,
109359,David Brudö,
109242,Will Kassoy,
109122,Terry Dougas,
109112,David Yaffe,
109861,Jaakko Salminen,
108733,Marcus Segal,
109899,Jean Pigozzi,
108692,Rem Darbinyan,
108614,Mohit Saxena,
110012,David Pritchard,
108566,John Pestana,
108564,Jacques Fu,
305,Enrique Dubois,
108418,Ian Schafer,
108365,Eric Seufert,
108353,Elizaveta Hesketh,
108342,Chris Smoak,
110062,Fabio Mondini de Focatiis,
110106,Okan Erol,
108133,Joe Speiser,
110142,Niklas Meinert,
107968,Marcy Simon,
110183,Mike Ullmann,
110224,Toon Coppens,
107961,Jean-Baptiste Rudelle,
110233,Thomas Weidner,
110256,Hande Enes,
440,Lawrence Braitman,
110275,Roman Kirsch,
110279,Guillaume Lestrade,
106745,Brian O'Kelley,
106435,Jonathan Zweig,
106357,Arthur F. Muldoon,
110369,Robin Bade,
110386,Rustan Panday,
110403,Sina Afra,
110523,Stefan Lindeberg,
110533,Vlad Ionescu,
110564,Utku Erol,
110578,Yago Arbeloa,
110803,Simon Borrero,
110825,Touker Suleyman,
110885,Gabriela Viana,
110910,Steen Ulf Jensen,
110911,Koen Bok,
110946,Mans Ulvestam,
111066,Markus Villig,
289,Tom McInerney,
111240,Eduardo Baer,
1298,Parsa Saljoughian,
546,Mark Jacobstein,
566,Barry X Lynn,
638,Amar Chokhawala,
712,Adam Schwartz,
796,Jay Gould,
845,Don Dodge,
946,Venu Anuganti,
1062,Steven Eskenazi,
1153,Zig Serafin,
1270,Juha Christensen,
1320,Salil Pradhan,
1465,Danny Wen,
1552,Sundeep Madra,
1632,Marissa Mayer,
1640,Vibhu Mittal,
1661,Philip Engelhardt,
1721,Jade Wang,
1735,Evangelos Simoudis,
1752,Eric Hahn,
1789,Eric Stein,
1812,Michael Evans,
1821,Shashank V Singh,
1876,Philipp Pieper,
1955,Wayne Pan,
2005,Raja Mawad,
2044,Conrad Voorsanger,
4258,Joshua Summers,
4276,Oussama Ammar,
4278,Sean Park,
31784,jossef halevy,
72891,Chien Yu,
79372,Yoel Flohr,
80339,Josh Sharma,
81714,Davide Di Cillo,
84269,Eduardo Laiter,
75709,Gabe Bender,
17136,David Bos,
95922,DROdio - Daniel R. Odio,
72192,David Quiec,
69102,Doug Butdorf,
67880,Danila Shirkov,
66434,Cyndi H,
50368,d9862629@urhen.com d9862629@urhen.com,
44086,Ari Sarna and Ron Praport,
32663,Somik Behera,
4318,Steve Olechowski,
4313,Brannack McLain,
4303,Jacob Chapman,
4291,Tom Moss,
4230,Gregory Bailey,
3676,Tal Shaked,
3672,Simon Gelfand,
3656,Roberto Singler,
3652,Ran Vaingold,
3611,Kobi Menachemi,
3538,Assaf Ben Asher,
2164,Shaitul Shah,
2163,Pramod Borkar,
2152,Irfan Mohammed,
2126,Joe Grundfest,
2113,Vyacheslav Davidenko,
2103,Shalini Pai,
2097,Sapna Mittal,
2093,Anubhav Gupta,
2090,Vinay Bhardwaj,
2040,Mike Rowehl,
2037,David Thomson,
1934,Tuoc Luong,
1898,Andrew Tweed,
1850,Zachary Allia,
1849,Daniel R. Odio,
1844,Dali Kilani,
1839,Cyrus Lohrasbpour,
1836,Hugh Browne,
1832,Nikita Kozlovski,
1826,Mary Jane Elmore,
1796,Waynn Lue,
1780,Eleanor Chang,
1768,John Rampton,
1767,Scott Wainner,
1760,Sara Lannin,
1744,David Min,
1739,Mickey Du,
1723,Angelica Morse,
1720,Lars Mapstead,
1714,Todd Mekjian,
1690,Paulius Uza,
1680,Herty Tammo,
1663,Tobin Ireland,
1656,Markus Wagner,
1638,Allan Schiffman,
1601,Rich Schmelzer,
1584,Young Song,
1554,Ramsey Chapin,
1550,J. Mathew Yohannan,
1547,Greg Lee,
1515,Christian Tabing-Dalit,
1511,Gaurav Bhalotia,
1506,Vish Shastry,
1501,Aditya Alurkar,
1488,Guy Fighel,
1484,Ray Ranga,
1472,Ace Bowes,
1462,Daniel Chapin,
1440,Natala Menezes,
1432,Colin Hayhurst,
1426,Niren Hiro,
1422,Peter Kirwan,
1409,Daniel Gnecco,
1406,William Kasel,
1397,Adam Pearsall,
1387,Maarten 't Hooft,
1374,Rosalyn Mahashin,
1346,John Kafi,
1342,Chris Sun,
1339,Chris Child,
1328,Luis Salazar,
1327,Himanshu Baweja,
1315,Tom Tunguz,
1308,Uday Sandhu,
1273,Dror Shimshowitz,
1261,Raja Kapadia,
1251,Richard De Silva,
1242,Dino Vendetti,
1224,Ossama Hassanein,
1188,James Gray,
1167,Colin Crawford,
1165,Rich LeFurgy,
1146,Jack Levin,
1126,Ruben Dua,
1121,Ryan McDonough,
1109,Touraj Parang,
1108,Ravi Dronamraju,
1104,Renu Raman,
1099,Brian Totty,
1097,Thomas Duterme,
1085,Amit Sangani,
1084,Rob Leathern,
1081,Shishir Mehrotra,
1063,Kira Makagon,
1046,Tony Gentile,
1042,Blake Phillip Kimball,
1010,Ra Roath,
1002,Nick McCann,
983,Bob Borchers,
979,Roj Niyogi,
921,John Albietz,
907,Jeremy Blalock,
890,Joe Wadcan,
864,Gregory R. Raifman,
861,Lester Lee,
850,Jeremy Larner,
846,Kazuya Minami,
835,David Hauser,
822,Frank Demmler,
817,Rudy Gadre,
810,Arya H. Bolurfrushan,
785,Tim Hanlon,
783,Ross Youngs,
760,Eric Manlunas,
753,Rob Taylor,
751,Stephen Culp,
747,Jeremy Katz,
707,Gene Zimon,
680,Jim Pallotta,
622,Mike Buckley,
524,Navneet Aron,
457,Seth Goldstein,
439,Tuff Yen,
88392,Dharan Desai,
315,Eric Tilenius,
314,Brendan Wallace,Fifth Wall
422,Dan Rosen,Commerce Ventures
3265,Eric Hippeau,Lerer Hippeau
416,Chamath Palihapitiya,Social Capital
3267,Joe Medved,Lerer Hippeau
5227,Zach Coelius,Coelius Capital
4361,Seth Levine,Foundry Group
17747,Clancey Stahr,GoAhead Ventures
3504,Rick Heitzmann,FirstMark Capital
285,Ben Narasin,Tenacity Venture Capital
28782,Dave Garland,Second Century Ventures
1630,Ajay Agarwal,Bain Capital Ventures
210,Alireza Masrour,Plug & Play Ventures
209,Bobby Yazdani,Cota Capital
153,Aaron Batalion,Batalion Capital
701,Josh Felser,ClimacticVC
13988,Brian Hirsch,Tribeca Venture Partners
3512,Tasso Argyros,FirstMark Capital
76886,Bhaskar Ghosh,8VC
186,Zachary Aarons,MetaProp Ventures
219,Auren Hoffman,Flex Capital
5264,Cory Klippsten,Bitcoiner Ventures
15627,Constance Freedman,Moderne Ventures
81527,Paul Kwan,General Catalyst
6320,Tx Zhuo,Fika Ventures
13035,Deborah Benton,Willow Growth Partners LP
92646,Guy Vidra,Collaborative Fund
173815,Lucian Todea,2048 Ventures
17114,Oscar Adelman,Sinai Ventures
24643,Urs Cete,BDMI - Bertelsmann Digital Media Investments
4264,Joshua Baer,Capital Factory
92347,Brittany Brody,Founder Collective
3068,David Pakman,CoinFund
26064,Eric Risley | HELPING WITH INTRODUCTIONS,Architect Partners Ventures
261,Amir Banifatemi,K5 Ventures
2106,Larry Marcus,Marcy Venture Partners
1574,Steve Schlenker,DN Capital
6272,Rodrigo Sepulveda,Expon Capital
41535,Bogdan Prokopenko,Highsystems
22804,Alexander Rosen,Ridge Ventures (Formerly known as IDG Ventures USA)
166727,Paul Goodrich,Madrona Ventures
322,Doug Chertok,Vast Ventures
258,Pietro Dova,XG Ventures
23682,Marco Giberti,Vesuvio Ventures
752,Mark Mullen,Bonfire Ventures
382,Marvin Liao,GAMEGROOVE Capital
29060,Shawn (Jay-Z) Carter,Marcy Venture Partners
6609,Dev Khare,
1287,Sunny Dhillon,Signia Venture Partners
6836,Malcolm Nutt,Wentworth Global Capital Partners
70858,Tobias Bauer,Blockchain Founders Fund
1683,Artem Burachenok,
25014,Mika Salmi,Lakestar
31969,Romain Vidal,CapHorn
47029,John Estalilla,Sfventures Group LLC
10479,Fady Yacoub,HOF Capital
27685,Dustin Drees,BIP Capital
454,Tak Miyata,Scrum Ventures
22041,Hiro Tien,The MBA Fund
92349,Leeor Mushin,Floodgate
3989,David Silverman,Crosslink Capital
118794,Wei Gao,Madrona Ventures
45449,Edson Rigonatti,Astella
3901,James Riney,Coral Capital
378,Mark Patricof,MESA Ventures
84940,Supachai Kid Parchariyanon,SeaX Ventures
72467,Jason M. Cronen,Garden District Ventures
69295,Eric Carlborg,Lobby Capital
287,Andrew Ogawa,Quest Venture Partners
26526,Martin Weber,HV Capital
72696,Ivo Facianof,Ludis Capital
82477,Matt Rightmire,Building Ventures
718,Seth Ginns,CoinFund
31664,Gary Sheynkman,GINCO Investments
81310,Matt Tillman,TnT Ventures
71583,Jason Ostheimer,Advancit Capital
35481,Geoff Schneider,Cava Capital
3897,Santiago Zavala,500 Global
2940,Josh Goldman,Catapult Capital
421,Khailee Ng,500 Global
76548,Erica Amatori,Alpaca VC
2199,Tom Cervantez,Accelerator Ventures
79202,Tanya Ma,Plug & Play Ventures
48826,Jason Cheng,Cathay Innovation
27140,Francisco Ferreira Pinto,Bynd Venture Capital
27559,Isabelle O'Keeffe,Sure Valley Ventures
1055,Tom Shields,AgFunder
39683,Michaela Jandova,QVentures
29109,Jessica Peltz-Zatulove,Hannah Grey
54723,Maarten Goossens,Anterra Capital
165630,Soren Larson,Everywhere Ventures (The Fund)
82329,Matt Burton,QED Investors
791,Gordon Chaffee,Sand Hill Angels
225,Michael Kunitzky,LaunchPad
116975,Beth Morgan,Alliance of Angels
185030,Dmitry Smirnov,Flint Capital
21313,Ilse Calderon,OVO Fund
115161,Evan Rutchik,RIII Ventures
185375,Eric Franchi,AperiamVentures
69026,David Yuan,Redpoint China Ventures
108260,Brian Samelson,TWO39 Ventures
121693,Shakeel Rashed,Capital Factory
104983,Marco Pieters,Slingshot Ventures
2295,Mathias Schilling,Headline (formerly e.ventures)
103280,Yvan-Michel Ehkirch,Karista
80018,Tianqi Wang,Plug & Play Ventures
84329,Pasha Romanovski,Hanaco Ventures
108838,Bryant Barr,Penny Jar Capital
169149,Gad Huldai,Pitango Venture Capital
108832,Rich Scudellari,Penny Jar Capital
111564,Eric Del Balso,Kohala Ventures
111688,Gary C. Hsueh,Catapult Capital
82461,Tina Cheng,Cherubic Ventures
513,Alexander Lloyd,Accelerator Ventures
142131,Bruce Hallett,Miramar Ventures
96224,Maximilien Bacot,Breega
771,Marcus Ogawa,Quest Venture Partners
128249,Hein Siemerink,Peak
155832,Luis F Trevino,Beamonte Investments
4211,Steven Krein,Startup Health
1389,Paul Martino,Bullpen Capital
1657,Daniel Darling,Darling Ventures
23317,Domenic Merenda,Sand Hill Angels
273,Juan Lopez Salaberry,
759,Geoff Judge,iNovia Capital
20575,Temur Turdibekov,Emery Capital
79588,Sunwoo Lee,Atland Ventures
114516,Mikael Wintzell,Wellstreet
147185,Rhian Saleh,LocalGlobe
145145,Vadim Dyakov,Fort Ross Ventures
134650,Mathieu Azorin,50 Partners
134484,Pascal Duriez,50 Partners
131243,Nima Wedlake,Thomvest Ventures
131055,Michelle McHargue,Costanoa Ventures
118453,Phuc Truong,WestCap
117331,Jascha Samadi,Greenfield One
116946,Benedict Rocchio,Baird Capital
115369,Jay Seleno,Unlock Venture Partners
111220,Eric DeMenthon,Pioneer Fund
111213,Argyris Zymnis,Pioneer Fund
111178,Rajiv Bhat,Pioneer Fund
111067,Marco Valta,Ambridge Capital
109675,Sybil Grieb,Pitbull Ventures
109488,Dylan Collins,Hoxton Ventures
109032,Samira Ann Qassim,Pink Salt Ventures
108864,Nicolas Galang,Founders Committee
2314,David Whorton,Tugboat Ventures
108824,Gurtej Gill,Hyphen Capital
108366,Taylor Wong,Rachel Zoe Ventures
108046,Brenda Freeman,Debut Capital
104621,Gil Doukhan,Iris Capital
103628,Dan Calugareanu,Early Game Ventures
103252,Kevin Mac Gowan,Space Ventures Investors
103161,Alessandro Machado,Cedro Capital
102424,Ekaterina Gianelli,Inventure
102357,Petteri Koponen,Lifeline Ventures
98858,Paulo Veras,Matterscale Ventures
95809,Jérôme Stioui,Serena Capital
3302,Aneesha Raghunathan,Susquehanna Growth Equity (SGE)
95580,Pauline Roux,Elaia Partners
95570,Xavier Lazarus,Elaia Partners
90731,Lizzie Francis,M13
82701,Roger Krakoff,Monta Vista Capital
27016,Dominique Rencurel,360 Capital Partners
1250,Chris Moore,
52753,Eric Ramos,bloom venture partners
193,Shervin Pishevar,
102774,Neil Cameron,Parkwalk Advisors
102984,Alexis Menard,Go Capital
104227,Brooke Richardson,TheVentureCity
104585,David Horowitz,Touchdown Ventures
107592,Kent Wakeford,Colossal Biosciences
156639,Carlo P.,La Famiglia
108766,David Dang,Hyphen Capital
108814,Christopher Yang,Hyphen Capital
108816,Amit Dubey,Hyphen Capital
108818,Louis Ng,Hyphen Capital
108822,Tia Wei,Hyphen Capital
108823,Jon Park,Hyphen Capital
108825,Eric Toda,Hyphen Capital
108826,Dave Yang,Hyphen Capital
108828,Kai Yi Chu,Hyphen Capital
108831,Gene Chuang,Hyphen Capital
112534,Mengfei He,Hyphen Capital
143394,Fabio Barcellos de Paula,Norte Ventures
139135,Solène Madec,Leia Capital
116373,Daniel Tapson,Business Growth Fund
131016,Alex Cochand,QVentures
98352,Ricardo Sasseron,Bertha Capital
102642,Christine Gerardy,Noshaq
128081,Jason Freeman,FundersClub
78896,Armin Kohan,Greycroft
126189,Michael Miraflor,Hannah Grey
81547,Dushyant Mishra,Together Fund
270,Ryan Swagar,Venture51
1565,Eghosa Omoigui,
5790,Dave Knox,
72511,Kristian Aartun,
98970,Gwen Cheni,
131011,Samuel Kad-Bay,QVentures
131010,Nadia Al-Nasser,QVentures
128771,Piotr Łupiński,Market One Capital
125358,William Goulding,Arbor Ventures
142935,Ayla Jeiroudi,XRC Labs
80825,Alan Yu,Space Capital
103918,Rembrandt Donkersloot,FORWARD.one
15445,Jinyan Jiang,
84683,Tony Nguyen,RTW Investments
131014,Mila Arie,QVentures
550,John Battelle,
814,Jeff Pulver,
126518,Ved Nathwani,Ada Ventures
90261,Julie Fredrickson,Chaotic Capital
129715,Tim Moynihan,Sweater Ventures
2178,Chris Alden,
1616,Anthony Soohoo,
3657,Roi Carthy,
79106,Elliott Cohen,
109758,Michael Puzrakov,
109739,John Makinson,
109177,Todd Perry,
109292,Yossi Matias,
109455,Christian Bjerre Kusk,
109466,Chris Bouwer,
119440,Russell Findlay,
111732,Alexander Algard,
111730,Alex Blum,
111723,Ajay Shah,
111530,Gabriel Pinto,
68432,Alex Sok,
4011,Hirofumi Ono,
111031,Hartmut Ostrowski,
110984,Tarkan Onar,
110960,Yigal Jacoby,
110905,Felipe Ramos Fioravante,
110771,Antonio Avellar,
110768,Alejandro León,
110746,Daniel Orlean,
110500,Gene Deyev,
110493,Craig Massey,
110445,Mauricio Feldman,
9609,Adam Salomone,
110375,Robbert Visser,
110284,Ronald Strässler,
110276,Guillaume Princen,
106729,Michael Ryan Dubin,
106734,Kim Perell,
108123,Greg Badros,
110118,Anders Borg,
158759,Javier Fernández Saavedra,
110094,Alexander Hars,
108549,Zak Cole,
110046,Jonas Sjögren,
109840,Jakub Krampl,
130323,Marty Weiss,
109803,Jan Wilmking,
72598,Jason Imola,
84910,Peter Sung,
3679,Tamar Reshef,
85375,Michael Son,
45181,Saurabh Suri,
161289,Saif Naqvi,
51177,Keith Scandone,
2175,James Currier,NFX
6056,Stonly Baptiste Blue,Third Sphere
93043,Sarai Bronfeld,NFX
801,Saul Klein,ZINC
77236,Or Offer,NFX
12626,Shaun Abrahamson,Third Sphere
9607,Ryan Gilbert,Launchpad Capital
99733,Ilia Shnaidman,Blumberg Capital
18958,David Stark,Ground Up Ventures
19995,Alexis Houssou,Hardware Club
19962,Uri Zilberman,Real-Life Innovations
41590,Rokas Peciulaitis,Contrarian Ventures
45288,Jeff Baehr,RueOne Investments
8721,Yaron Samid,TechAviv Founder Partners
146740,Shalva Gozland,Insight Partners
138712,Abe Murray,AlleyCorp Robotics
42226,Lucas Vaz,Ravelin Capital
38880,Ido Fishler,Good Company
4505,Liron Azrielant,Meron Capital
61388,Aaron Applbaum,MizMaa Ventures
14589,barak rabinowitz,F2 Capital
80127,Federico Carrasco,Graypes GmbH
30623,Reilly Brennan,Trucks Venture Capital
3021,Sergey Gribov,Flint Capital
61026,Michael Lavin,Germin8 Ventures
21991,Yair Vardi,Fusion VC
33314,Igor Magazinik,PentaLab
67872,Toot Shani,Sarona Ventures
70993,Moshe Bellows,Maccabee Ventures
41310,Avi Rosenbaum,Tectonic Capital
17742,Eyal Miller,Samsung NEXT Ventures
17883,Justin Gage,Cornerstone Venture Partners
6384,Amit Shafrir,Pnina International
169896,Pablos Holman,Deep Future
174320,Sharon Shacham,E44 Ventures
150964,Gil Ben-Artzy,UpWest
147072,Noemie Alliel,Starburst Israel Ventures
3568,Dov Moran,Grove Ventures
116066,Liran Grinberg,Team8
3605,Itzik Frid,Takwin Ventures
80674,Jesse Robbins,Heavybit
23874,Leila Rastegar Zegna,Kindred Capital
44292,Fan Wen,Plug & Play Ventures
19932,Royi Benyossef,Samsung NEXT Ventures
19950,Ayelet Ben Arav,Incubit Technology Ventures
45336,Lia Cromwell,UpWest
44548,shlomi podgaetz,Danimazal LLC
115074,Maya Pizov,Amiti Ventures
78555,Artem Bezrukov,
67397,Ofir Azury,Gandyr Investments
16367,Henry Chen Weinstein,
3626,Nimrod Cohen,TAU Ventures
19959,Gad Hayisraeli,River Enterprise
19040,Josef Feldman,Tectonic Capital
76762,Israel Ganot,Aviv Growth Partners
94977,Aniq Kassam,FAST — by GETTYLAB
115067,Ben Rabinowitz,Amiti Ventures
117044,Kfir Kachlon,91 Ventures
134251,Fang Soong Chou,040 Capital
88103,Aldi Agaj,"AAK TELE-SCIENCE, INC."
136938,Yorai Fainmesser,Disruptive AI
12359,Jonathan Pacifici,Sixth Millennium Venture Partners
155040,Chris Smith,Playfair Capital
168873,Gadi Porat,Jerusalem Venture Partners (JVP)
169043,David Debash,Sarona Ventures
100041,Assaf Wahrhaft,UpWest
169281,Ofer Shoshan,OurCrowd
140627,Aaron Israel,Secret Chord Ventures
72453,Liron Gal,TLVSeed
3613,Levy Raiz,Digital Horizon VC
67261,David Sokolic,Toyota Ventures
98508,Uria Lin,Elron Ventures
29022,Irit Hillel,HP Tech Ventures
76796,Asher Abraham,NextGen Venture Partners
72799,Natalia Kolupaeva,VNTR Capital
77167,Ariel Maislos,
3826,Moshe Zilberstein,Next47
78940,Eli Nir,OurCrowd
146843,Amit Goldenberg,Entrée Capital Ventures
84404,Avi Bharadwaj,Innovation Endeavors
144971,Tyler Crown,Unusual Ventures
31105,Eyal Inbal,040 Capital
144768,Akbar Dawood,Arc Ventures
